Marca,Modello,AnnoUscita,Memoria,Ram,Processore,Display,Risoluzione,Lenti,Tipo,Img,Prezzo
Meta,Quest 2,2020,256Gb,6Gb,Snapdragon XR2,LCD,"1832 × 1920 per occhio",Fresnel,Standalone,metaQ2.jpg,200€
Meta,Quest Pro,2022,256Gb,12Gb,Snapdragon XR2+,Mini-LED,"1800 × 1920 per occhio",Fresnel,Standalone,metaQPro.jpg,800€
Valve,Index,2019,N/A,N/A,PC-Dependent,IPS LCD,"1440 × 1600 per occhio",Aspherical,Tethered,valveIndex.png,500€
HTC,"Vive Pro 2",2021,N/A,N/A,PC-Dependent,LCD,"2448 × 2448 per occhio",Fresnel,Tethered,htcV.jpg,400€
Sony,PlayStation VR2,2023,N/A,N/A,PS5-Dependent,OLED,"2000 × 2040 per occhio",Glass,Tethered,psVr2.jpg,400€
HP,Reverb G2,2020,N/A,N/A,PC-Dependent,LCD,"2160 × 2160 per occhio",Aspherical,Tethered,hpRv.png,200€
Pico,4,2022,128Gb,8Gb,Snapdragon XR2,Fast-LCD,"2160 × 2160 per occhio",Pancake,Standalone,pico4.png,300€
Samsung,HMD Odyssey+,2018,N/A,N/A,PC-Dependent,OLED,"1440 × 1600 per occhio",Aspherical,Tethered,smOd.jpg,150€
Oculus,Rift S,2019,N/A,N/A,PC-Dependent,LCD,"1280 × 1440 per occhio",Aspherical,Tethered,oculusRS.png,300€
Varjo,XR-3,2021,N/A,N/A,PC-Dependent,Bionic Display,"1920 × 1920 foveato + 2880 × 2720",Custom,Tethered,xr3.png,2000€
